date,output,output_target,inflation,inflation_target,fed_rate
1/31/2000,10250.952,10115.95171,3.37685727,2,6.4
1/31/2001,10581.929,10708.966,2.82617112,2,1.82
1/31/2002,10929.108,11192.61739,1.58603163,2,1.24
1/31/2003,11456.45,11698.71216,2.27009497,2,0.98
1/31/2004,12217.196,12290.34624,2.67723669,2,2.16
1/31/2005,13039.197,12957.09901,3.39274685,2,4.16
1/31/2006,13815.583,13647.72484,3.2259441,2,5.24
1/31/2007,14474.228,14312.54598,2.85267248,2,4.24
1/31/2008,14769.862,14879.54099,3.8391003,2,0.16
1/31/2009,14478.067,15221.50393,-0.35554627,2,0.12
1/31/2010,15048.97,15631.79484,1.64004344,2,0.18
1/31/2011,15599.731,16196.50387,3.15684157,2,0.07
1/31/2012,16253.97,16763.80345,2.06933727,2,0.16
1/31/2013,16843.196,17341.07659,1.46483266,2,0.09
1/31/2014,17550.687,17978.04597,1.62222298,2,0.12
1/31/2015,18206.023,18496.84883,0.11862714,2,0.24
1/31/2016,18695.106,19032.93933,1.26158321,2,0.54
1/31/2017,19477.337,19757.77802,2.13011,2,1.3
1/31/2018,20533.058,20610.54005,2.4425833,2,2.27
1/31/2019,21380.976,21356.03914,1.81221008,2,1.55
1/31/2020,21060.474,21975.13874,1.2335844,2,0.09
1/31/2021,23315.081,23304.58302,4.69785886,2,0.08
1/31/2022,20054.66,25308.43509,7.100000,2,4.5
